podNumber,timestamp,consumptionKwh,productionKwh
CH1008400000000000000000000012345,2025-10-01 00:00,0.21,0.0
CH1008400000000000000000000012346,2025-10-01 00:00,0.37,0.0
CH1008400000000000000000000012347,2025-10-01 00:00,0.3,0.0
CH1008400000000000000000000012348,2025-10-01 00:00,0.32,0.0
CH1008400000000000000000000012349,2025-10-01 00:00,0.29,0.0
CH1008400000000000000000000012350,2025-10-01 00:00,0.17,0.0
CH1008400000000000000000000012351,2025-10-01 00:00,0.41,0.0
CH1008400000000000000000000012352,2025-10-01 00:00,0.42,0.0
CH1008400000000000000000000012353,2025-10-01 00:00,0.29,0.0
CH1008400000000000000000000012354,2025-10-01 00:00,0.27,0.0
CH1008400000000000000000000012355,2025-10-01 00:00,0.3,0.0
CH1008400000000000000000000012356,2025-10-01 00:00,0.34,0.0
CH1008400000000000000000000012345,2025-10-01 01:00,0.3,0.0
CH1008400000000000000000000012346,2025-10-01 01:00,0.26,0.0
CH1008400000000000000000000012347,2025-10-01 01:00,0.32,0.0
CH1008400000000000000000000012348,2025-10-01 01:00,0.22,0.0
CH1008400000000000000000000012349,2025-10-01 01:00,0.34,0.0
CH1008400000000000000000000012350,2025-10-01 01:00,0.35,0.0
CH1008400000000000000000000012351,2025-10-01 01:00,0.3,0.0
CH1008400000000000000000000012352,2025-10-01 01:00,0.19,0.0
CH1008400000000000000000000012353,2025-10-01 01:00,0.19,0.0
CH1008400000000000000000000012354,2025-10-01 01:00,0.32,0.0
CH1008400000000000000000000012355,2025-10-01 01:00,0.22,0.0
CH1008400000000000000000000012356,2025-10-01 01:00,0.26,0.0
CH1008400000000000000000000012345,2025-10-01 02:00,0.28,0.0
CH1008400000000000000000000012346,2025-10-01 02:00,0.34,0.0
CH1008400000000000000000000012347,2025-10-01 02:00,0.28,0.0
CH1008400000000000000000000012348,2025-10-01 02:00,0.29,0.0
CH1008400000000000000000000012349,2025-10-01 02:00,0.31,0.0
CH1008400000000000000000000012350,2025-10-01 02:00,0.33,0.0
CH1008400000000000000000000012351,2025-10-01 02:00,0.36,0.0
CH1008400000000000000000000012352,2025-10-01 02:00,0.37,0.0
CH1008400000000000000000000012353,2025-10-01 02:00,0.24,0.0
CH1008400000000000000000000012354,2025-10-01 02:00,0.29,0.0
CH1008400000000000000000000012355,2025-10-01 02:00,0.41,0.0
CH1008400000000000000000000012356,2025-10-01 02:00,0.42,0.0
CH1008400000000000000000000012345,2025-10-01 03:00,0.26,0.0
CH1008400000000000000000000012346,2025-10-01 03:00,0.22,0.0
CH1008400000000000000000000012347,2025-10-01 03:00,0.22,0.0
CH1008400000000000000000000012348,2025-10-01 03:00,0.19,0.0
CH1008400000000000000000000012349,2025-10-01 03:00,0.25,0.0
CH1008400000000000000000000012350,2025-10-01 03:00,0.38,0.0
CH1008400000000000000000000012351,2025-10-01 03:00,0.3,0.0
CH1008400000000000000000000012352,2025-10-01 03:00,0.25,0.0
CH1008400000000000000000000012353,2025-10-01 03:00,0.37,0.0
CH1008400000000000000000000012354,2025-10-01 03:00,0.31,0.0
CH1008400000000000000000000012355,2025-10-01 03:00,0.31,0.0
CH1008400000000000000000000012356,2025-10-01 03:00,0.24,0.0
CH1008400000000000000000000012345,2025-10-01 04:00,0.3,0.0
CH1008400000000000000000000012346,2025-10-01 04:00,0.31,0.0
CH1008400000000000000000000012347,2025-10-01 04:00,0.36,0.0
CH1008400000000000000000000012348,2025-10-01 04:00,0.22,0.0
CH1008400000000000000000000012349,2025-10-01 04:00,0.3,0.0
CH1008400000000000000000000012350,2025-10-01 04:00,0.25,0.0
CH1008400000000000000000000012351,2025-10-01 04:00,0.17,0.0
CH1008400000000000000000000012352,2025-10-01 04:00,0.37,0.0
CH1008400000000000000000000012353,2025-10-01 04:00,0.25,0.0
CH1008400000000000000000000012354,2025-10-01 04:00,0.3,0.0
CH1008400000000000000000000012355,2025-10-01 04:00,0.21,0.0
CH1008400000000000000000000012356,2025-10-01 04:00,0.34,0.0
CH1008400000000000000000000012345,2025-10-01 05:00,0.22,0.0
CH1008400000000000000000000012346,2025-10-01 05:00,0.25,0.0
CH1008400000000000000000000012347,2025-10-01 05:00,0.39,0.0
CH1008400000000000000000000012348,2025-10-01 05:00,0.31,0.0
CH1008400000000000000000000012349,2025-10-01 05:00,0.36,0.0
CH1008400000000000000000000012350,2025-10-01 05:00,0.48,0.0
CH1008400000000000000000000012351,2025-10-01 05:00,0.23,0.0
CH1008400000000000000000000012352,2025-10-01 05:00,0.38,0.0
CH1008400000000000000000000012353,2025-10-01 05:00,0.33,0.0
CH1008400000000000000000000012354,2025-10-01 05:00,0.43,0.0
CH1008400000000000000000000012355,2025-10-01 05:00,0.23,0.0
CH1008400000000000000000000012356,2025-10-01 05:00,0.31,0.0
CH1008400000000000000000000012345,2025-10-01 06:00,0.87,0.0
CH1008400000000000000000000012346,2025-10-01 06:00,0.88,0.0
CH1008400000000000000000000012347,2025-10-01 06:00,0.85,0.0
CH1008400000000000000000000012348,2025-10-01 06:00,1.11,0.0
CH1008400000000000000000000012349,2025-10-01 06:00,0.57,0.0
CH1008400000000000000000000012350,2025-10-01 06:00,0.73,0.0
CH1008400000000000000000000012351,2025-10-01 06:00,0.94,0.0
CH1008400000000000000000000012352,2025-10-01 06:00,0.85,0.0
CH1008400000000000000000000012353,2025-10-01 06:00,0.86,0.0
CH1008400000000000000000000012354,2025-10-01 06:00,0.72,0.0
CH1008400000000000000000000012355,2025-10-01 06:00,0.95,0.0
CH1008400000000000000000000012356,2025-10-01 06:00,0.86,0.0
CH1008400000000000000000000012345,2025-10-01 07:00,0.75,0.15
CH1008400000000000000000000012346,2025-10-01 07:00,0.7,0.1
CH1008400000000000000000000012347,2025-10-01 07:00,0.52,0.0
CH1008400000000000000000000012348,2025-10-01 07:00,0.55,0.18
CH1008400000000000000000000012349,2025-10-01 07:00,0.65,0.0
CH1008400000000000000000000012350,2025-10-01 07:00,0.59,0.09
CH1008400000000000000000000012351,2025-10-01 07:00,0.52,0.0
CH1008400000000000000000000012352,2025-10-01 07:00,0.67,0.0
CH1008400000000000000000000012353,2025-10-01 07:00,0.62,0.17
CH1008400000000000000000000012354,2025-10-01 07:00,0.86,0.0
CH1008400000000000000000000012355,2025-10-01 07:00,0.96,0.12
CH1008400000000000000000000012356,2025-10-01 07:00,0.67,0.0
CH1008400000000000000000000012345,2025-10-01 08:00,1.16,0.43
CH1008400000000000000000000012346,2025-10-01 08:00,0.71,0.3
CH1008400000000000000000000012347,2025-10-01 08:00,0.68,0.0
CH1008400000000000000000000012348,2025-10-01 08:00,0.8,0.55
CH1008400000000000000000000012349,2025-10-01 08:00,0.58,0.0
CH1008400000000000000000000012350,2025-10-01 08:00,0.94,0.25
CH1008400000000000000000000012351,2025-10-01 08:00,0.73,0.0
CH1008400000000000000000000012352,2025-10-01 08:00,0.63,0.0
CH1008400000000000000000000012353,2025-10-01 08:00,1.04,0.51
CH1008400000000000000000000012354,2025-10-01 08:00,0.69,0.0
CH1008400000000000000000000012355,2025-10-01 08:00,1.04,0.35
CH1008400000000000000000000012356,2025-10-01 08:00,0.5,0.0
CH1008400000000000000000000012345,2025-10-01 09:00,0.48,0.99
CH1008400000000000000000000012346,2025-10-01 09:00,0.45,0.7
CH1008400000000000000000000012347,2025-10-01 09:00,0.49,0.0
CH1008400000000000000000000012348,2025-10-01 09:00,0.41,1.26
