podNumber,timestamp,consumptionKwh,productionKwh
CH1008400000000000000000000012345,2026-01-01 00:00,0.37,0.0
CH1008400000000000000000000012346,2026-01-01 00:00,0.42,0.0
CH1008400000000000000000000012347,2026-01-01 00:00,0.26,0.0
CH1008400000000000000000000012348,2026-01-01 00:00,0.45,0.0
CH1008400000000000000000000012349,2026-01-01 00:00,0.43,0.0
CH1008400000000000000000000012350,2026-01-01 00:00,0.37,0.0
CH1008400000000000000000000012351,2026-01-01 00:00,0.39,0.0
CH1008400000000000000000000012352,2026-01-01 00:00,0.43,0.0
CH1008400000000000000000000012353,2026-01-01 00:00,0.4,0.0
CH1008400000000000000000000012354,2026-01-01 00:00,0.35,0.0
CH1008400000000000000000000012355,2026-01-01 00:00,0.24,0.0
CH1008400000000000000000000012356,2026-01-01 00:00,0.41,0.0
CH1008400000000000000000000012345,2026-01-01 01:00,0.3,0.0
CH1008400000000000000000000012346,2026-01-01 01:00,0.38,0.0
CH1008400000000000000000000012347,2026-01-01 01:00,0.3,0.0
CH1008400000000000000000000012348,2026-01-01 01:00,0.31,0.0
CH1008400000000000000000000012349,2026-01-01 01:00,0.3,0.0
CH1008400000000000000000000012350,2026-01-01 01:00,0.35,0.0
CH1008400000000000000000000012351,2026-01-01 01:00,0.3,0.0
CH1008400000000000000000000012352,2026-01-01 01:00,0.39,0.0
CH1008400000000000000000000012353,2026-01-01 01:00,0.23,0.0
CH1008400000000000000000000012354,2026-01-01 01:00,0.46,0.0
CH1008400000000000000000000012355,2026-01-01 01:00,0.32,0.0
CH1008400000000000000000000012356,2026-01-01 01:00,0.3,0.0
CH1008400000000000000000000012345,2026-01-01 02:00,0.31,0.0
CH1008400000000000000000000012346,2026-01-01 02:00,0.33,0.0
CH1008400000000000000000000012347,2026-01-01 02:00,0.35,0.0
CH1008400000000000000000000012348,2026-01-01 02:00,0.39,0.0
CH1008400000000000000000000012349,2026-01-01 02:00,0.34,0.0
CH1008400000000000000000000012350,2026-01-01 02:00,0.33,0.0
CH1008400000000000000000000012351,2026-01-01 02:00,0.3,0.0
CH1008400000000000000000000012352,2026-01-01 02:00,0.33,0.0
CH1008400000000000000000000012353,2026-01-01 02:00,0.36,0.0
CH1008400000000000000000000012354,2026-01-01 02:00,0.39,0.0
CH1008400000000000000000000012355,2026-01-01 02:00,0.41,0.0
CH1008400000000000000000000012356,2026-01-01 02:00,0.56,0.0
CH1008400000000000000000000012345,2026-01-01 03:00,0.37,0.0
CH1008400000000000000000000012346,2026-01-01 03:00,0.41,0.0
CH1008400000000000000000000012347,2026-01-01 03:00,0.3,0.0
CH1008400000000000000000000012348,2026-01-01 03:00,0.3,0.0
CH1008400000000000000000000012349,2026-01-01 03:00,0.28,0.0
CH1008400000000000000000000012350,2026-01-01 03:00,0.41,0.0
CH1008400000000000000000000012351,2026-01-01 03:00,0.25,0.0
CH1008400000000000000000000012352,2026-01-01 03:00,0.49,0.0
CH1008400000000000000000000012353,2026-01-01 03:00,0.36,0.0
CH1008400000000000000000000012354,2026-01-01 03:00,0.55,0.0
CH1008400000000000000000000012355,2026-01-01 03:00,0.36,0.0
CH1008400000000000000000000012356,2026-01-01 03:00,0.34,0.0
CH1008400000000000000000000012345,2026-01-01 04:00,0.29,0.0
CH1008400000000000000000000012346,2026-01-01 04:00,0.25,0.0
CH1008400000000000000000000012347,2026-01-01 04:00,0.44,0.0
CH1008400000000000000000000012348,2026-01-01 04:00,0.41,0.0
CH1008400000000000000000000012349,2026-01-01 04:00,0.34,0.0
CH1008400000000000000000000012350,2026-01-01 04:00,0.49,0.0
CH1008400000000000000000000012351,2026-01-01 04:00,0.22,0.0
CH1008400000000000000000000012352,2026-01-01 04:00,0.32,0.0
CH1008400000000000000000000012353,2026-01-01 04:00,0.45,0.0
CH1008400000000000000000000012354,2026-01-01 04:00,0.43,0.0
CH1008400000000000000000000012355,2026-01-01 04:00,0.29,0.0
CH1008400000000000000000000012356,2026-01-01 04:00,0.35,0.0
CH1008400000000000000000000012345,2026-01-01 05:00,0.55,0.0
CH1008400000000000000000000012346,2026-01-01 05:00,0.49,0.0
CH1008400000000000000000000012347,2026-01-01 05:00,0.43,0.0
CH1008400000000000000000000012348,2026-01-01 05:00,0.47,0.0
CH1008400000000000000000000012349,2026-01-01 05:00,0.38,0.0
CH1008400000000000000000000012350,2026-01-01 05:00,0.37,0.0
CH1008400000000000000000000012351,2026-01-01 05:00,0.33,0.0
CH1008400000000000000000000012352,2026-01-01 05:00,0.52,0.0
CH1008400000000000000000000012353,2026-01-01 05:00,0.22,0.0
CH1008400000000000000000000012354,2026-01-01 05:00,0.4,0.0
CH1008400000000000000000000012355,2026-01-01 05:00,0.44,0.0
CH1008400000000000000000000012356,2026-01-01 05:00,0.43,0.0
CH1008400000000000000000000012345,2026-01-01 06:00,0.69,0.0
CH1008400000000000000000000012346,2026-01-01 06:00,0.76,0.0
CH1008400000000000000000000012347,2026-01-01 06:00,0.98,0.0
CH1008400000000000000000000012348,2026-01-01 06:00,0.98,0.0
CH1008400000000000000000000012349,2026-01-01 06:00,0.85,0.0
CH1008400000000000000000000012350,2026-01-01 06:00,1.12,0.0
CH1008400000000000000000000012351,2026-01-01 06:00,0.86,0.0
CH1008400000000000000000000012352,2026-01-01 06:00,0.86,0.0
CH1008400000000000000000000012353,2026-01-01 06:00,0.94,0.0
CH1008400000000000000000000012354,2026-01-01 06:00,0.93,0.0
CH1008400000000000000000000012355,2026-01-01 06:00,0.84,0.0
CH1008400000000000000000000012356,2026-01-01 06:00,1.21,0.0
CH1008400000000000000000000012345,2026-01-01 07:00,0.78,0.0
CH1008400000000000000000000012346,2026-01-01 07:00,1.18,0.0
CH1008400000000000000000000012347,2026-01-01 07:00,1.31,0.0
CH1008400000000000000000000012348,2026-01-01 07:00,0.99,0.0
CH1008400000000000000000000012349,2026-01-01 07:00,0.83,0.0
CH1008400000000000000000000012350,2026-01-01 07:00,1.11,0.0
CH1008400000000000000000000012351,2026-01-01 07:00,1.03,0.0
CH1008400000000000000000000012352,2026-01-01 07:00,1.09,0.0
CH1008400000000000000000000012353,2026-01-01 07:00,0.77,0.0
CH1008400000000000000000000012354,2026-01-01 07:00,0.68,0.0
CH1008400000000000000000000012355,2026-01-01 07:00,1.17,0.0
CH1008400000000000000000000012356,2026-01-01 07:00,1.13,0.0
CH1008400000000000000000000012345,2026-01-01 08:00,0.87,0.02
CH1008400000000000000000000012346,2026-01-01 08:00,0.6,0.02
CH1008400000000000000000000012347,2026-01-01 08:00,0.88,0.0
CH1008400000000000000000000012348,2026-01-01 08:00,0.59,0.01
CH1008400000000000000000000012349,2026-01-01 08:00,0.95,0.0
CH1008400000000000000000000012350,2026-01-01 08:00,0.56,0.01
CH1008400000000000000000000012351,2026-01-01 08:00,0.74,0.0
CH1008400000000000000000000012352,2026-01-01 08:00,0.96,0.0
CH1008400000000000000000000012353,2026-01-01 08:00,0.75,0.01
CH1008400000000000000000000012354,2026-01-01 08:00,0.71,0.0
CH1008400000000000000000000012355,2026-01-01 08:00,0.91,0.02
CH1008400000000000000000000012356,2026-01-01 08:00,1.02,0.0
CH1008400000000000000000000012345,2026-01-01 09:00,0.58,0.06
CH1008400000000000000000000012346,2026-01-01 09:00,0.77,0.03
CH1008400000000000000000000012347,2026-01-01 09:00,0.55,0.0
CH1008400000000000000000000012348,2026-01-01 09:00,0.81,0.04
CH1008400000000000000000000012349,2026-01-01 09:00,0.57,0.0
CH1008400000000000000000000012350,2026-01-01 09:00,0.45,0.01
CH1008400000000000000000000012351,2026-01-01 09:00,0.78,0.0
CH1008400000000000000000000012352,2026-01-01 09:00,0.62,0.0
CH1008400000000000000000000012353,2026-01-01 09:00,0.6,0.05
CH1008400000000000000000000012354,2026-01-01 09:00,0.52,0.0
CH1008400000000000000000000012355,2026-01-01 09:00,0.37,0.06
CH1008400000000000000000000012356,2026-01-01 09:00,0.61,0.0
CH1008400000000000000000000012345,2026-01-01 10:00,0.58,0.13
CH1008400000000000000000000012346,2026-01-01 10:00,0.75,0.09
CH1008400000000000000000000012347,2026-01-01 10:00,0.68,0.0
CH1008400000000000000000000012348,2026-01-01 10:00,0.46,0.08
CH1008400000000000000000000012349,2026-01-01 10:00,0.37,0.0
CH1008400000000000000000000012350,2026-01-01 10:00,0.52,0.04
CH1008400000000000000000000012351,2026-01-01 10:00,0.7,0.0
CH1008400000000000000000000012352,2026-01-01 10:00,0.68,0.0
CH1008400000000000000000000012353,2026-01-01 10:00,0.62,0.11
CH1008400000000000000000000012354,2026-01-01 10:00,0.63,0.0
